Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score,Tiempo_Inicio,Tiempo_Fin,Tiempo_Segundos
100,1.0,50,0.7,50,1321.0663137561205,1214.382782208056,1410.7561047741033,1124.9024781742037,1283.658773105362,1283.658773105362,2026-07-29 09:06:58,2026-07-29 09:22:12,914.0380668640136
50,1.0,50,0.7,100,1341.0910042245257,1241.659555564652,1128.1993265795074,1187.2119992729597,1320.2497426916889,1241.659555564652,2026-07-27 19:07:25,2026-07-27 19:22:36,910.2873666286469
50,1.0,100,0.7,50,1322.0936755353107,1180.70556906492,1225.7139019190938,1430.6750869385862,1176.3105344528092,1225.7139019190938,2026-07-27 22:33:11,2026-07-27 22:48:17,906.6085829734802
100,1.0,50,0.5,50,1215.2384709765915,1240.4236889848885,1204.8014271852626,1281.4594129664451,1252.3315932908497,1240.4236889848885,2026-07-29 08:14:35,2026-07-29 08:29:40,905.5916357040404
50,1.0,100,0.5,50,1345.664977535751,1037.4867106759468,1227.4814301820172,1277.9108331374744,1241.7395351992416,1241.7395351992416,2026-07-27 21:40:17,2026-07-27 21:55:19,901.7154948711396
50,1.0,100,0.1,50,1285.840726133143,1288.6688697360933,1118.9673951406642,1252.7923194437544,1281.7369345287495,1281.7369345287495,2026-07-27 20:48:03,2026-07-27 21:03:03,899.4356756210327
50,1.0,50,1.0,100,1251.915882683271,1170.9360282231214,1248.156257602258,1276.902953872852,1133.7757066511824,1248.156257602258,2026-07-27 19:33:47,2026-07-27 19:48:42,895.5708372592926
100,0.1,100,0.5,100,1305.966806398523,1222.2203632535554,1192.3925553817178,1213.3408207775992,1243.126973376574,1222.2203632535554,2026-07-28 05:35:40,2026-07-28 05:50:34,894.4058463573456
50,1.0,50,0.5,100,1197.2366105603508,1122.2448740790242,1206.2622563529264,1111.7939040808217,1244.7871678313627,1197.2366105603508,2026-07-27 18:41:27,2026-07-27 18:56:19,892.4088509082794
50,1.0,100,0.0,50,1262.9295940785296,1080.3001879854812,1212.634575280376,992.3589704212666,1241.289773940738,1212.634575280376,2026-07-27 19:55:56,2026-07-27 20:10:46,890.1020946502686
100,1.0,50,0.0,50,1308.3736087120417,1249.588088949979,1244.7001288570857,1194.4920603277562,1193.7664989104835,1244.7001288570857,2026-07-29 06:31:14,2026-07-29 06:46:02,888.4389088153839
100,0.0,100,0.7,100,1112.599591282186,1174.104616069777,1283.956839880338,1205.415012343669,1292.9829969205648,1205.415012343669,2026-07-28 02:08:46,2026-07-28 02:23:30,884.4938662052155
50,1.0,50,0.1,100,1326.3552947757669,1204.1884672426886,1280.380820130913,1097.888324637733,1282.7396726319148,1280.380820130913,2026-07-27 18:15:41,2026-07-27 18:30:25,883.6140253543854
50,1.0,50,0.0,100,1428.4419339203605,1378.119176268933,1157.762183429579,1208.4988493888172,1166.173082882802,1208.4988493888172,2026-07-27 17:49:58,2026-07-27 18:04:41,882.363420009613
100,1.0,50,0.1,50,1135.8264900725314,1168.8554207094708,1123.1169823310352,1259.8669299639964,1252.728879154159,1168.8554207094708,2026-07-29 07:22:52,2026-07-29 07:37:26,873.7723047733307
50,0.7,100,1.0,50,1133.8566800804626,1141.310874709573,1291.60674056316,1345.5386925560897,1251.6854006186036,1251.6854006186036,2026-07-27 15:54:07,2026-07-27 16:08:03,835.8834130764008
50,0.7,50,1.0,100,1288.725466093745,1183.9644877782976,1367.8102408157868,1226.1983708980574,1204.8608047214775,1226.1983708980574,2026-07-27 13:01:08,2026-07-27 13:14:42,813.773580789566
100,0.7,50,1.0,50,1279.3650299663766,1359.9240163618845,1184.819292134466,1167.9216973630373,1265.439690085492,1265.439690085492,2026-07-28 20:48:10,2026-07-28 21:01:36,805.841020822525
100,0.0,50,1.0,100,1209.7758916498954,1209.5118663304906,1199.8956963219412,1235.1733566356463,1152.9634062972616,1209.5118663304906,2026-07-28 01:21:01,2026-07-28 01:34:08,786.5653846263885
100,0.5,100,0.1,50,1158.990119123517,1242.2500979891895,1316.3269400935235,1301.9609308013764,1283.5710340687244,1283.5710340687244,2026-07-28 12:07:45,2026-07-28 12:20:48,783.6527037620544
50,0.5,100,0.1,100,1259.8682484254073,1252.736902361066,1204.1333576882157,1071.161700017124,1310.9542049224096,1252.736902361066,2026-07-27 08:41:32,2026-07-27 08:54:34,781.9314520359039
100,0.5,50,0.1,100,1320.2935890412664,1132.6512015031071,1270.161340928196,1192.6954030909826,1134.4752233183638,1192.6954030909826,2026-07-28 09:13:46,2026-07-28 09:26:48,781.7440993785858
100,1.0,100,1.0,20,1268.9079260718606,1179.73021928983,1282.786993318857,1122.507830304868,1188.3632900174644,1188.3632900174644,2026-07-29 17:55:27,2026-07-29 18:08:05,758.7758131027222
50,0.7,100,0.7,50,1194.401296340659,1295.3110033260552,1306.3601249514725,1211.0741606058114,1309.9130713755474,1295.3110033260552,2026-07-27 15:10:05,2026-07-27 15:22:38,752.6681706905365
100,0.0,100,1.0,50,1179.0614841252725,1089.0377149341646,1089.471555607492,1339.7138629230578,1126.6211978209449,1126.6211978209449,2026-07-28 02:30:35,2026-07-28 02:43:07,751.9926822185516
50,0.7,50,0.7,100,1184.2729398133738,1151.353756049522,1179.2617023498951,1168.7190858451518,1240.371071166936,1179.2617023498951,2026-07-27 12:38:35,2026-07-27 12:51:04,749.0029752254486
100,0.5,50,1.0,50,1116.6845026112512,1188.8141132865796,1216.2734935112949,1319.497592793543,1319.3921756294412,1216.2734935112949,2026-07-28 10:41:01,2026-07-28 10:53:27,746.3348562717438
100,0.7,50,0.7,50,1102.700441415982,1308.969946551619,1262.4616325299658,1051.5478622235476,1297.1071188767414,1262.4616325299658,2026-07-28 20:04:21,2026-07-28 20:16:39,738.0699014663696
100,1.0,100,0.7,20,1147.387591559478,1211.0498820872947,1180.4497707537994,1130.458981505612,1280.1727881760603,1180.4497707537994,2026-07-29 16:07:44,2026-07-29 16:20:00,735.3688423633575
50,0.5,100,0.0,100,1305.838424613898,1144.0917258424522,1370.043218015342,1383.3038303958226,1403.8770169060183,1370.043218015342,2026-07-27 08:19:43,2026-07-27 08:31:57,734.4216089248657
100,0.5,50,0.0,100,1202.5819908474878,1166.3918605114518,1180.4165671260669,1387.573644771608,1210.872941780029,1202.5819908474878,2026-07-28 08:51:49,2026-07-28 09:04:01,732.8497183322906
100,1.0,100,0.5,20,1165.9682615890838,1213.25070405194,1130.3698602372494,1140.598868783355,1277.9785138740858,1165.9682615890838,2026-07-29 14:19:55,2026-07-29 14:32:07,732.3525245189667
100,0.5,100,0.0,50,1173.814818797279,1173.5813748860194,1008.5823700229926,1340.9268061214168,1241.7624014377782,1173.814818797279,2026-07-28 11:24:39,2026-07-28 11:36:48,729.5773754119873
50,0.5,100,1.0,50,1279.8655607547166,1231.5459151922382,1190.0555994978026,1374.9790468741298,1156.026164098526,1231.5459151922382,2026-07-27 10:08:39,2026-07-27 10:20:48,729.5115265846252
50,0.5,50,1.0,100,1222.2390166034506,1172.7004096884618,1153.4856442855576,1270.133067995106,1258.1887015112811,1222.2390166034506,2026-07-27 07:58:33,2026-07-27 08:10:34,721.285804271698
100,1.0,100,0.1,20,1231.1029239948234,1224.919247608751,1296.646334162024,1250.428562195833,1093.993170572089,1231.1029239948234,2026-07-29 12:35:16,2026-07-29 12:47:09,712.9290647506714
100,1.0,20,1.0,100,1116.840352199676,1329.622623125454,1221.2539024967905,1273.3005770135403,1100.336488345944,1221.2539024967905,2026-07-29 06:11:57,2026-07-29 06:23:49,712.3014469146729
100,1.0,20,0.7,100,1270.368272667234,1253.6360250471823,1269.8716508705656,1144.5291330788248,1349.8172639675056,1269.8716508705656,2026-07-29 05:51:17,2026-07-29 06:03:09,711.4470162391663
