Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score,Tiempo_Inicio,Tiempo_Fin,Tiempo_Segundos
5,0.1,20,0,5,1098.5933,1160.287547,1317.855759,1226.904686,1225.466476,1225.466476,26/07/2026 23:10,26/07/2026 23:10,0.350151539
5,0.1,20,0,20,1286.978046,1153.416361,1231.353865,1278.257129,1083.211893,1231.353865,26/07/2026 23:10,26/07/2026 23:10,1.615723133
5,0.1,20,0,50,1277.028655,1196.224311,1260.08015,1194.576472,1066.129575,1196.224311,26/07/2026 23:10,26/07/2026 23:10,4.042986631
5,0.1,20,0,100,1208.939729,1071.935073,1174.043924,1285.719434,1287.440298,1208.939729,26/07/2026 23:10,26/07/2026 23:10,8.388541222
5,0.1,20,0.1,5,1194.017203,1259.180886,1256.87201,1151.717662,1147.649022,1194.017203,26/07/2026 23:10,26/07/2026 23:10,0.555603027
5,0.1,20,0.1,20,1216.722284,1179.285162,1228.685425,1120.623387,1219.580164,1216.722284,26/07/2026 23:10,26/07/2026 23:10,2.168742895
5,0.1,20,0.1,50,1297.517179,1132.562045,1231.1963,1071.192756,1151.464018,1151.464018,26/07/2026 23:10,26/07/2026 23:10,5.223633289
5,0.1,20,0.1,100,1060.422437,1078.643912,1176.291757,1160.193117,1118.192881,1118.192881,26/07/2026 23:10,26/07/2026 23:11,10.29018116
5,0.1,20,0.5,5,1123.03941,1216.882507,1237.122686,1183.227946,1191.865057,1191.865057,26/07/2026 23:11,26/07/2026 23:11,0.954990625
5,0.1,20,0.5,20,1313.731642,1388.584643,1276.649639,1159.82094,1300.488843,1300.488843,26/07/2026 23:11,26/07/2026 23:11,3.843615055
5,0.1,20,0.5,50,1297.053804,1027.837742,1083.48859,1278.030176,1067.696784,1083.48859,26/07/2026 23:11,26/07/2026 23:11,9.242162704
5,0.1,20,0.5,100,1260.442194,1170.646164,1297.637084,1186.595066,1314.010141,1260.442194,26/07/2026 23:11,26/07/2026 23:11,17.14814854
5,0.1,20,0.7,5,1285.570805,1312.495175,1289.807249,1040.88437,1328.258062,1289.807249,26/07/2026 23:11,26/07/2026 23:11,1.305058241
5,0.1,20,0.7,20,1358.219295,1185.784774,1162.439409,1136.056209,1287.711994,1185.784774,26/07/2026 23:11,26/07/2026 23:11,5.462382078
5,0.1,20,0.7,50,1226.068998,1149.762508,1304.185314,1260.972401,1238.261691,1238.261691,26/07/2026 23:11,26/07/2026 23:11,11.33061171
5,0.1,20,0.7,100,1194.819876,1322.065999,1343.647469,1203.483732,1150.296345,1203.483732,26/07/2026 23:11,26/07/2026 23:12,22.85399413
5,0.1,20,1,5,1302.009156,1312.06077,1140.003275,1251.317632,1322.213685,1302.009156,26/07/2026 23:12,26/07/2026 23:12,1.796517611
5,0.1,20,1,20,1185.716517,1091.001614,1207.870011,1270.145483,1144.574736,1185.716517,26/07/2026 23:12,26/07/2026 23:12,5.315725803
5,0.1,20,1,50,1132.512333,1100.907347,1295.569481,1246.018542,1305.822433,1246.018542,26/07/2026 23:12,26/07/2026 23:12,14.39672208
5,0.1,20,1,100,1327.906266,1199.293242,1204.273462,1143.565219,1279.923671,1204.273462,26/07/2026 23:12,26/07/2026 23:13,29.58050156
5,0.1,50,0,5,1301.847037,1266.480841,1272.433519,1136.566616,1102.484561,1266.480841,26/07/2026 23:13,26/07/2026 23:13,1.064988613
5,0.1,50,0,20,1150.029517,1080.952375,1254.87181,1259.302193,1237.487158,1237.487158,26/07/2026 23:13,26/07/2026 23:13,4.115721226
5,0.1,50,0,50,1211.697741,1253.609425,1257.403797,1309.664379,1208.952027,1253.609425,26/07/2026 23:13,26/07/2026 23:13,9.916462183
5,0.1,50,0,100,1296.398192,1295.005855,1071.964699,1279.892524,1207.18629,1279.892524,26/07/2026 23:13,26/07/2026 23:13,19.02524185
5,0.1,50,0.1,5,1184.836201,1339.743729,1131.192082,1225.399812,1296.383468,1225.399812,26/07/2026 23:13,26/07/2026 23:13,1.256689787
5,0.1,50,0.1,20,1367.966277,1229.229198,1133.634416,1187.486025,1196.329,1196.329,26/07/2026 23:13,26/07/2026 23:13,4.949518442
5,0.1,50,0.1,50,1258.179259,1325.268524,1126.322085,1233.20096,1243.955902,1243.955902,26/07/2026 23:13,26/07/2026 23:13,12.1062243
5,0.1,50,0.1,100,1319.062486,1234.415499,1096.002319,1278.22657,1247.647081,1247.647081,26/07/2026 23:13,26/07/2026 23:14,23.77135086
5,0.1,50,0.5,5,1254.009959,1264.551508,1237.863364,1281.586688,1159.927968,1254.009959,26/07/2026 23:14,26/07/2026 23:14,1.913475752
5,0.1,50,0.5,20,1057.401606,1235.300433,1233.977688,1163.903607,1098.476474,1163.903607,26/07/2026 23:14,26/07/2026 23:14,9.394840956
5,0.1,50,0.5,50,1083.017711,1190.29476,1369.537062,1027.238897,1335.800227,1190.29476,26/07/2026 23:14,26/07/2026 23:14,22.36764932
5,0.1,50,0.5,100,1140.152042,1247.485641,1281.493145,1178.924099,1281.678065,1247.485641,26/07/2026 23:14,26/07/2026 23:15,44.31841135
5,0.1,50,0.7,5,1327.298178,1260.869124,1262.018031,1129.045282,1158.924693,1260.869124,26/07/2026 23:15,26/07/2026 23:15,2.584174395
5,0.1,50,0.7,20,1103.071545,1228.246836,1299.333335,1301.425862,1171.249984,1228.246836,26/07/2026 23:15,26/07/2026 23:15,11.49366808
5,0.1,50,0.7,50,1284.177727,1203.082386,1160.489955,1285.739874,1240.257691,1240.257691,26/07/2026 23:15,26/07/2026 23:16,31.06964278
5,0.1,50,0.7,100,1172.089356,1342.835556,1273.102073,1171.166941,1016.418445,1172.089356,26/07/2026 23:16,26/07/2026 23:17,65.90459514
5,0.1,50,1,5,1321.768698,1121.55644,1233.71134,1166.977926,1157.805636,1166.977926,26/07/2026 23:17,26/07/2026 23:17,4.119532585
5,0.1,50,1,20,1252.366995,1272.696384,1242.072962,1312.936492,1221.13366,1252.366995,26/07/2026 23:17,26/07/2026 23:17,15.2442739
5,0.1,50,1,50,1225.784552,1206.692286,1205.994567,1197.613256,1185.068925,1205.994567,26/07/2026 23:17,26/07/2026 23:18,39.67689633
5,0.1,50,1,100,1092.458505,1292.786197,1192.967989,1258.658246,1226.764397,1226.764397,26/07/2026 23:18,26/07/2026 23:19,76.51033068
5,0.1,100,0,5,1427.797633,1236.555025,1190.52012,1292.05155,1226.836624,1236.555025,26/07/2026 23:19,26/07/2026 23:19,1.901011229
5,0.1,100,0,20,1221.78286,1185.872978,1061.611364,1371.016755,1129.532903,1185.872978,26/07/2026 23:19,26/07/2026 23:19,8.343197823
5,0.1,100,0,50,1305.07684,1205.232071,1145.456947,1137.553291,1176.392292,1176.392292,26/07/2026 23:19,26/07/2026 23:20,20.24165964
5,0.1,100,0,100,1178.644186,1187.356822,1260.206673,1272.09,1169.838175,1187.356822,26/07/2026 23:20,26/07/2026 23:20,40.27690673
5,0.1,100,0.1,5,1149.267816,1328.237262,1293.178404,1241.998323,1291.282705,1291.282705,26/07/2026 23:20,26/07/2026 23:20,2.954725504
5,0.1,100,0.1,20,1085.253052,1199.609706,1090.823056,1278.957077,1183.228624,1183.228624,26/07/2026 23:20,26/07/2026 23:21,10.13832641
5,0.1,100,0.1,50,1308.098933,1195.313847,1375.827217,1178.438617,1121.435082,1195.313847,26/07/2026 23:21,26/07/2026 23:21,27.12044311
5,0.1,100,0.1,100,1307.962535,1318.159171,1244.439723,1237.314393,1176.109886,1244.439723,26/07/2026 23:21,26/07/2026 23:22,53.99162555
5,0.1,100,0.5,5,1233.168918,1180.890181,1248.559084,1336.045297,1173.695434,1233.168918,26/07/2026 23:22,26/07/2026 23:22,5.219711304
5,0.1,100,0.5,20,1255.656122,1123.366037,1293.23061,1143.085019,1155.672747,1155.672747,26/07/2026 23:22,26/07/2026 23:22,18.71155834
5,0.1,100,0.5,50,1222.719569,1240.012339,1218.577486,1255.472497,1146.37168,1222.719569,26/07/2026 23:22,26/07/2026 23:23,50.37905383
5,0.1,100,0.5,100,1310.874061,1061.743461,1163.808274,1192.279614,1205.59581,1192.279614,26/07/2026 23:23,26/07/2026 23:25,102.0745506
5,0.1,100,0.7,5,1161.079396,1260.393474,1320.543408,1365.085707,1138.851557,1260.393474,26/07/2026 23:25,26/07/2026 23:25,5.68730998
5,0.1,100,0.7,20,1314.281507,1270.229241,1315.58676,1263.012977,1257.43003,1270.229241,26/07/2026 23:25,26/07/2026 23:25,22.84186101
5,0.1,100,0.7,50,1270.891967,1173.921551,1240.730541,1287.406924,1408.912855,1270.891967,26/07/2026 23:25,26/07/2026 23:26,64.59420657
5,0.1,100,0.7,100,1227.349653,1184.851795,1274.60384,1253.707747,1232.926637,1232.926637,26/07/2026 23:26,26/07/2026 23:29,122.412432
5,0.1,100,1,5,1158.365577,1304.639086,1273.150339,1072.180137,1333.494821,1273.150339,26/07/2026 23:29,26/07/2026 23:29,8.073146343
5,0.1,100,1,20,1331.36735,1218.132648,1303.137256,1236.26927,1079.65238,1236.26927,26/07/2026 23:29,26/07/2026 23:29,31.29762387
5,0.1,100,1,50,1199.051249,1338.705545,1194.075668,1176.862039,1303.576291,1199.051249,26/07/2026 23:29,26/07/2026 23:30,75.15422225
5,0.1,100,1,100,1315.914906,1074.64155,1225.115531,1140.109487,1090.183666,1140.109487,26/07/2026 23:30,26/07/2026 23:33,151.0021312
5,0.5,5,0,5,1312.303375,1144.949329,1284.500139,1398.652311,1236.884761,1284.500139,26/07/2026 23:33,26/07/2026 23:33,0.456240177
5,0.5,5,0,20,1148.775913,1255.295772,1230.109752,1219.078222,1212.8873,1219.078222,26/07/2026 23:33,26/07/2026 23:33,1.94997263
5,0.5,5,0,50,1250.27566,1325.669448,1486.972361,1160.893921,1213.334817,1250.27566,26/07/2026 23:33,26/07/2026 23:33,4.562582254
5,0.5,5,0,100,1167.348791,1297.668754,1344.534601,1148.173144,1272.18155,1272.18155,26/07/2026 23:33,26/07/2026 23:33,9.375198364
5,0.5,5,0.1,5,1271.888401,1241.355582,1204.900277,1253.802993,1192.138898,1241.355582,26/07/2026 23:33,26/07/2026 23:33,0.544874907
5,0.5,5,0.1,20,1174.640827,1234.197941,1123.615927,1226.748749,1232.084589,1226.748749,26/07/2026 23:33,26/07/2026 23:33,2.12790823
5,0.5,5,0.1,50,1151.367807,1107.47683,1289.639997,1050.394535,1189.065498,1151.367807,26/07/2026 23:33,26/07/2026 23:33,4.99493289
5,0.5,5,0.1,100,1207.538551,1048.397352,1324.332626,1229.618805,1252.688612,1229.618805,26/07/2026 23:33,26/07/2026 23:34,10.32970071
5,0.5,5,0.5,5,1317.053769,1346.173017,1098.73157,1226.280511,1196.979019,1226.280511,26/07/2026 23:34,26/07/2026 23:34,0.560451508
5,0.5,5,0.5,20,1198.89727,1243.650071,1317.617362,1111.456248,1236.845096,1236.845096,26/07/2026 23:34,26/07/2026 23:34,2.395444155
5,0.5,5,0.5,50,1136.138859,1217.868633,1254.77042,1195.941198,1155.635043,1195.941198,26/07/2026 23:34,26/07/2026 23:34,5.99352932
5,0.5,5,0.5,100,1146.913652,1188.183019,1337.643949,1359.988021,1387.148797,1337.643949,26/07/2026 23:34,26/07/2026 23:34,12.12484026
5,0.5,5,0.7,5,1255.511928,1106.642511,1037.554157,1096.4542,1224.991896,1106.642511,26/07/2026 23:34,26/07/2026 23:34,0.69722414
5,0.5,5,0.7,20,1261.85479,1129.243465,1251.05166,1073.355023,1186.629137,1186.629137,26/07/2026 23:34,26/07/2026 23:34,2.587167501
5,0.5,5,0.7,50,1308.501428,1213.293924,1127.921304,1124.99922,1181.642676,1181.642676,26/07/2026 23:34,26/07/2026 23:34,6.693972826
5,0.5,5,0.7,100,1165.074526,1255.257521,1150.188413,1308.369273,1125.730606,1165.074526,26/07/2026 23:34,26/07/2026 23:34,12.89403725
5,0.5,5,1,5,1214.641249,1191.062115,1168.420032,1193.170377,1225.968908,1193.170377,26/07/2026 23:34,26/07/2026 23:34,0.818697214
